CardId,Friendliness,Check
4000001,10,2000001
4000002,10,2000002
4000003,10,2000003
4000004,10,2000004
4000005,10,2000005
4000006,10,2000006
4000007,10,2000007
4000008,10,2000008
4000009,10,2000009
4000010,10,2000010
4000011,10,2000011
4000012,10,2000012
4000013,10,2000013
4000014,10,2000014
4000015,10,2000015
4000016,10,2000016
4000017,10,2000017
4000018,10,2000018
4000019,10,2000019
4000020,10,2000020
4000021,10,2000021
4000022,10,2000022
4000023,10,2000023
4000024,10,2000024
4000025,10,2000025
4000026,10,2000026
4000027,10,2000027
4000028,10,2000028
4000029,10,2000029
4000030,10,2000030
4000031,10,2000031
4000032,10,2000032
4000033,10,2000033
4000034,10,2000034
4000035,10,2000035
4000036,10,2000036
4000037,10,2000037
4000038,10,2000038
4000039,10,2000039
4000040,10,2000040
4000041,10,2000041
4000042,10,2000042
4000043,10,2000043
4000044,10,2000044
4000045,10,2000045
4000046,10,2000046
4000047,10,2000047
4000048,10,2000048
