DropId,Weight,Result,IsEnd
1000,60,10001,0
1000,510,10002,0
1000,9430,10003,0
10001,5000,100011,0
10001,5000,100012,0
100011,1,2000003,1
100011,1,2000004,1
100011,1,2000008,1
100011,1,2000009,1
100011,1,2000010,1
100012,1,2000048,1
10002,2500,100021,0
10002,2500,100022,0
10002,5000,6000002,1
100021,1,2000033,1
100021,1,2000024,1
100021,1,2000025,1
100021,1,2000026,1
100021,1,2000032,1
100021,1,2000028,1
100021,1,2000035,1
100021,1,2000029,1
100021,1,2000034,1
100021,1,2000039,1
100021,1,2000027,1
100021,1,2000036,1
100021,1,2000040,1
100021,1,2000038,1
100021,1,2000047,1
100021,1,2000041,1
100021,1,2000042,1
100021,1,2000023,1
100021,1,2000031,1
100021,1,2000045,1
100022,1,2000037,1
100022,1,2000030,1
100022,1,2000043,1
10003,1,6000001,1
