PlayerLevel,PlayerExp,WorldLevel,ChapterId
1,375,1,0
2,500,1,0
3,625,1,0
4,725,1,0
5,850,1,0
6,950,1,0
7,1075,1,0
8,1200,1,0
9,1300,1,0
10,1425,1,0
11,1525,1,0
12,1650,1,0
13,1775,1,0
14,1875,1,0
15,2000,1,0
16,2375,1,0
17,2500,1,0
18,2625,1,0
19,2775,1,0
20,2825,1,0
21,3425,1,0
22,3725,1,0
23,4000,1,0
24,4300,1,0
25,4575,2,10001
26,4875,2,0
27,5150,2,0
28,5450,2,0
29,5725,2,0
30,6025,3,0
31,6300,3,0
32,6600,3,0
33,6900,3,0
34,7175,3,0
35,7475,4,10002
36,7750,4,0
37,8050,4,0
38,8325,4,0
39,8625,4,0
40,10550,5,0
41,11525,5,0
42,12375,5,0
43,13450,5,0
44,14400,5,0
45,15350,6,10003
46,16325,6,0
47,17275,6,0
48,18250,6,0
49,19200,6,0
50,26400,7,10004
51,28800,7,0
52,31200,7,0
53,33600,7,0
54,36000,7,0
55,232350,8,0
56,258950,8,0
57,285750,8,0
58,312825,8,0
59,340125,8,0
60,0,8,0
