Id,Group,AttrType,AttrName,AttrValue,Weight
1,1,1,百分比生命,0,1399
2,1,2,百分比攻击,0,1399
3,1,3,百分比防御,0,1399
4,1,4,暴击率,0,1372
5,1,5,暴击伤害,0,1372
6,1,6,治疗加成,0,1280
7,1,7,元素精通,0,1399
8,2,1,百分比生命,410,1053
9,2,1,百分比生命,470,1053
10,2,1,百分比生命,530,1053
11,2,1,百分比生命,580,1053
12,2,2,百分比攻击,410,1053
13,2,2,百分比攻击,470,1053
14,2,2,百分比攻击,530,1053
15,2,2,百分比攻击,580,1053
16,2,3,百分比防御,510,1053
17,2,3,百分比防御,580,1053
18,2,3,百分比防御,660,1053
19,2,3,百分比防御,730,1053
20,2,4,暴击率,270,789
21,2,4,暴击率,310,789
22,2,4,暴击率,350,789
23,2,4,暴击率,390,789
24,2,5,暴击伤害,540,789
25,2,5,暴击伤害,620,789
26,2,5,暴击伤害,700,789
27,2,5,暴击伤害,780,789
28,2,7,元素精通,16,1053
29,2,7,元素精通,19,1053
30,2,7,元素精通,21,1053
31,2,7,元素精通,23,1053
32,2,8,元素充能,450,1053
33,2,8,元素充能,520,1053
34,2,8,元素充能,580,1053
35,2,8,元素充能,650,1053
36,2,9,生命,209,1579
37,2,9,生命,239,1579
38,2,9,生命,269,1579
39,2,9,生命,299,1579
40,2,10,攻击,14,1579
41,2,10,攻击,16,1579
42,2,10,攻击,18,1579
43,2,10,攻击,19,1579
44,2,11,防御,16,1579
45,2,11,防御,19,1579
46,2,11,防御,21,1579
47,2,11,防御,23,1579
