EntryId,Level,AttrType,AttrName,AttrValue,NeedExp
1,0,1,百分比生命,700,0
1,1,1,百分比生命,898,3000
1,2,1,百分比生命,1096,3725
1,3,1,百分比生命,1294,4425
1,4,1,百分比生命,1492,5150
1,5,1,百分比生命,1690,5900
1,6,1,百分比生命,1888,6675
1,7,1,百分比生命,2086,7500
1,8,1,百分比生命,2284,8350
1,9,1,百分比生命,2482,9225
1,10,1,百分比生命,2680,10125
1,11,1,百分比生命,2878,11050
1,12,1,百分比生命,3076,12025
1,13,1,百分比生命,3274,13025
1,14,1,百分比生命,3472,15150
1,15,1,百分比生命,3670,17600
1,16,1,百分比生命,3868,20375
1,17,1,百分比生命,4066,23500
1,18,1,百分比生命,4264,27050
1,19,1,百分比生命,4462,31050
1,20,1,百分比生命,4660,35575
2,0,2,百分比攻击,700,0
2,1,2,百分比攻击,898,3000
2,2,2,百分比攻击,1096,3725
2,3,2,百分比攻击,1294,4425
2,4,2,百分比攻击,1492,5150
2,5,2,百分比攻击,1690,5900
2,6,2,百分比攻击,1888,6675
2,7,2,百分比攻击,2086,7500
2,8,2,百分比攻击,2284,8350
2,9,2,百分比攻击,2482,9225
2,10,2,百分比攻击,2680,10125
2,11,2,百分比攻击,2878,11050
2,12,2,百分比攻击,3076,12025
2,13,2,百分比攻击,3274,13025
2,14,2,百分比攻击,3472,15150
2,15,2,百分比攻击,3670,17600
2,16,2,百分比攻击,3868,20375
2,17,2,百分比攻击,4066,23500
2,18,2,百分比攻击,4264,27050
2,19,2,百分比攻击,4462,31050
2,20,2,百分比攻击,4660,35575
3,0,3,百分比防御,870,0
3,1,3,百分比防御,1118,3000
3,2,3,百分比防御,1366,3725
3,3,3,百分比防御,1614,4425
3,4,3,百分比防御,1862,5150
3,5,3,百分比防御,2110,5900
3,6,3,百分比防御,2358,6675
3,7,3,百分比防御,2606,7500
3,8,3,百分比防御,2854,8350
3,9,3,百分比防御,3102,9225
3,10,3,百分比防御,3350,10125
3,11,3,百分比防御,3598,11050
3,12,3,百分比防御,3846,12025
3,13,3,百分比防御,4094,13025
3,14,3,百分比防御,4342,15150
3,15,3,百分比防御,4590,17600
3,16,3,百分比防御,4838,20375
3,17,3,百分比防御,5086,23500
3,18,3,百分比防御,5334,27050
3,19,3,百分比防御,5582,31050
3,20,3,百分比防御,5830,35575
4,0,4,暴击率,470,0
4,1,4,暴击率,602,3000
4,2,4,暴击率,734,3725
4,3,4,暴击率,866,4425
4,4,4,暴击率,998,5150
4,5,4,暴击率,1130,5900
4,6,4,暴击率,1262,6675
4,7,4,暴击率,1394,7500
4,8,4,暴击率,1526,8350
4,9,4,暴击率,1658,9225
4,10,4,暴击率,1790,10125
4,11,4,暴击率,1922,11050
4,12,4,暴击率,2054,12025
4,13,4,暴击率,2186,13025
4,14,4,暴击率,2318,15150
4,15,4,暴击率,2450,17600
4,16,4,暴击率,2582,20375
4,17,4,暴击率,2714,23500
4,18,4,暴击率,2846,27050
4,19,4,暴击率,2978,31050
4,20,4,暴击率,3110,35575
5,0,5,暴击伤害,930,0
5,1,5,暴击伤害,1194,3000
5,2,5,暴击伤害,1459,3725
5,3,5,暴击伤害,1723,4425
5,4,5,暴击伤害,1988,5150
5,5,5,暴击伤害,2252,5900
5,6,5,暴击伤害,2517,6675
5,7,5,暴击伤害,2781,7500
5,8,5,暴击伤害,3046,8350
5,9,5,暴击伤害,3310,9225
5,10,5,暴击伤害,3575,10125
5,11,5,暴击伤害,3839,11050
5,12,5,暴击伤害,4104,12025
5,13,5,暴击伤害,4368,13025
5,14,5,暴击伤害,4633,15150
5,15,5,暴击伤害,4897,17600
5,16,5,暴击伤害,5162,20375
5,17,5,暴击伤害,5426,23500
5,18,5,暴击伤害,5691,27050
5,19,5,暴击伤害,5955,31050
5,20,5,暴击伤害,6220,35575
6,0,6,治疗加成,540,0
6,1,6,治疗加成,692,3000
6,2,6,治疗加成,845,3725
6,3,6,治疗加成,997,4425
6,4,6,治疗加成,1150,5150
6,5,6,治疗加成,1302,5900
6,6,6,治疗加成,1455,6675
6,7,6,治疗加成,1607,7500
6,8,6,治疗加成,1760,8350
6,9,6,治疗加成,1912,9225
6,10,6,治疗加成,2065,10125
6,11,6,治疗加成,2217,11050
6,12,6,治疗加成,2370,12025
6,13,6,治疗加成,2522,13025
6,14,6,治疗加成,2675,15150
6,15,6,治疗加成,2827,17600
6,16,6,治疗加成,2980,20375
6,17,6,治疗加成,3132,23500
6,18,6,治疗加成,3285,27050
6,19,6,治疗加成,3437,31050
6,20,6,治疗加成,3590,35575
7,0,7,元素精通,28,0
7,1,7,元素精通,35,3000
7,2,7,元素精通,43,3725
7,3,7,元素精通,51,4425
7,4,7,元素精通,59,5150
7,5,7,元素精通,67,5900
7,6,7,元素精通,75,6675
7,7,7,元素精通,83,7500
7,8,7,元素精通,91,8350
7,9,7,元素精通,99,9225
7,10,7,元素精通,107,10125
7,11,7,元素精通,115,11050
7,12,7,元素精通,123,12025
7,13,7,元素精通,131,13025
7,14,7,元素精通,139,15150
7,15,7,元素精通,147,17600
7,16,7,元素精通,155,20375
7,17,7,元素精通,163,23500
7,18,7,元素精通,171,27050
7,19,7,元素精通,179,31050
7,20,7,元素精通,187,35575
