WeaponStar,Level,NeedExp,NeedStarLevel
5,1,0,0
5,2,100,0
5,3,200,0
5,4,300,0
5,5,400,0
5,6,500,0
5,7,600,0
5,8,700,0
5,9,800,0
5,10,900,0
5,11,1000,0
5,12,1100,0
5,13,1200,0
5,14,1300,0
5,15,1400,0
5,16,1500,0
5,17,1600,0
5,18,1700,0
5,19,1800,0
5,20,1900,0
5,21,2000,1
5,22,2100,1
5,23,2200,1
5,24,2300,1
5,25,2400,1
5,26,2500,1
5,27,2600,1
5,28,2700,1
5,29,2800,1
5,30,2900,1
5,31,3000,1
5,32,3100,1
5,33,3200,1
5,34,3300,1
5,35,3400,1
5,36,3500,1
5,37,3600,1
5,38,3700,1
5,39,3800,1
5,40,3900,1
5,41,4000,2
5,42,4100,2
5,43,4200,2
5,44,4300,2
5,45,4400,2
5,46,4500,2
5,47,4600,2
5,48,4700,2
5,49,4800,2
5,50,4900,2
5,51,5000,3
5,52,5100,3
5,53,5200,3
5,54,5300,3
5,55,5400,3
5,56,5500,3
5,57,5600,3
5,58,5700,3
5,59,5800,3
5,60,5900,3
5,61,6000,4
5,62,6100,4
5,63,6200,4
5,64,6300,4
5,65,6400,4
5,66,6500,4
5,67,6600,4
5,68,6700,4
5,69,6800,4
5,70,6900,4
5,71,7000,5
5,72,7100,5
5,73,7200,5
5,74,7300,5
5,75,7400,5
5,76,7500,5
5,77,7600,5
5,78,7700,5
5,79,7800,5
5,80,7900,5
5,81,8000,6
5,82,8100,6
5,83,8200,6
5,84,8300,6
5,85,8400,6
5,86,8500,6
5,87,8600,6
5,88,8700,6
5,89,8800,6
5,90,8900,6
